order_item_id,order_id,product_id,quantity,unit_price,created_at,updated_at
oi_001,ord_001,prod_001,2,49.99,2024-06-01 09:00:00,2024-06-01 09:00:00
oi_002,ord_001,prod_003,1,50.01,2024-06-01 09:00:05,2024-06-01 09:00:05
oi_003,ord_002,prod_002,1,89.50,2024-06-02 10:15:00,2024-06-02 10:15:00
oi_004,ord_003,prod_001,3,49.99,2024-06-05 11:00:00,2024-06-05 11:00:00
oi_005,ord_003,prod_004,1,84.03,2024-06-05 11:00:05,2024-06-05 11:00:05
oi_006,ord_004,prod_005,1,67.99,2024-06-08 08:30:00,2024-06-08 08:30:00
oi_007,ord_005,prod_002,2,94.50,2024-06-10 13:00:00,2024-06-10 13:00:00
oi_008,ord_006,prod_006,1,45.00,2024-06-12 09:45:00,2024-06-12 09:45:00
oi_009,ord_007,prod_001,2,49.99,2024-06-15 14:20:00,2024-06-15 14:20:00
oi_010,ord_007,prod_004,2,84.03,2024-06-15 14:20:05,2024-06-15 14:20:05
oi_011,ord_007,prod_007,1,124.50,2024-06-15 14:20:10,2024-06-15 14:20:10
oi_012,ord_008,prod_006,1,78.00,2024-06-18 10:00:00,2024-06-18 10:00:00
oi_013,ord_009,prod_003,2,78.00,2024-06-20 12:10:00,2024-06-20 12:10:00
oi_014,ord_010,prod_005,1,67.99,2024-06-22 09:00:00,2024-06-22 09:00:00
oi_015,ord_010,prod_008,1,30.76,2024-06-22 09:00:05,2024-06-22 09:00:05
oi_016,ord_011,prod_002,1,89.50,2024-06-25 11:30:00,2024-06-25 11:30:00
oi_017,ord_011,prod_007,1,111.50,2024-06-25 11:30:05,2024-06-25 11:30:05
oi_018,ord_012,prod_004,1,84.03,2024-06-28 15:00:00,2024-06-28 15:00:00
oi_019,ord_012,prod_008,1,50.96,2024-06-28 15:00:05,2024-06-28 15:00:05
oi_020,ord_013,prod_006,1,89.00,2024-07-01 10:00:00,2024-07-01 10:00:00
oi_021,ord_014,prod_001,2,49.99,2024-07-03 09:20:00,2024-07-03 09:20:00
oi_022,ord_014,prod_007,1,167.02,2024-07-03 09:20:05,2024-07-03 09:20:05
oi_023,ord_015,prod_005,1,54.50,2024-07-05 08:45:00,2024-07-05 08:45:00
oi_024,ord_016,prod_003,1,78.00,2024-07-08 13:15:00,2024-07-08 13:15:00
oi_025,ord_016,prod_004,1,100.25,2024-07-08 13:15:05,2024-07-08 13:15:05
oi_026,ord_017,prod_002,1,123.00,2024-07-10 10:30:00,2024-07-10 10:30:00
oi_027,ord_018,prod_005,1,95.00,2024-07-12 09:10:00,2024-07-12 09:10:00
oi_028,ord_019,prod_001,2,49.99,2024-07-14 08:50:00,2024-07-14 08:50:00
oi_029,ord_019,prod_007,1,110.02,2024-07-14 08:50:05,2024-07-14 08:50:05
oi_030,ord_020,prod_006,1,87.50,2024-07-15 09:00:00,2024-07-15 09:00:00
